param : 	c_inv	c_maint	gwp_constr	lifetime	c_p	fmin_perc	fmax_perc	f_min	f_max := 
SASM	BEV_BATT	0.0	0.0	0.0	1	1.0	0.0	1.0	0.0	0.0
SASM	PHEV_BATT	0.0	0.0	0.0	1	1.0	0.0	1.0	0.0	0.0
SASM	PHS	58.8	0.0	8.33	50	1.0	0.0	1.0	0.0	0.0
SASM	TS_DEC_DIRECT_ELEC	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SASM	TS_DEC_HP_ELEC	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SASM	TS_DEC_THHP_GAS	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SASM	TS_DEC_COGEN_GAS	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SASM	TS_DEC_COGEN_OIL	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SASM	TS_DEC_ADVCOGEN_GAS	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SASM	TS_DEC_ADVCOGEN_H2	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SASM	TS_DEC_BOILER_GAS	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SASM	TS_DEC_BOILER_WOOD	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SASM	TS_DEC_BOILER_OIL	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SASM	TS_DHN_DAILY	3.0	0.0086	0.0	40	1.0	0.0	1.0	0.0	0.0
SASM	TS_DHN_SEASONAL	0.59	0.003222222	0.0	25	1.0	0.0	1.0	0.0	0.0
SASM	TS_HIGH_TEMP	28.03	0.3	0.0	25	1.0	0.0	1.0	0.0	0.0
SASM	GAS_STORAGE	0.05	0.001309164	0.0	50	1.0	0.0	1.0	0.0	0.0
SASM	H2_STORAGE	6.19	0.39	0.0	20	1.0	0.0	1.0	0.0	0.0
SASM	DIESEL_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	0.0
SASM	GASOLINE_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	0.0
SASM	LFO_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	0.0
SASM	AMMONIA_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	0.0
SASM	METHANOL_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	0.0
SASM	CO2_STORAGE	49.5	0.495	0.0	30	1.0	0.0	1.0	0.0	0.0
SASM	OCGT	1176.1	17.64181303	183.79	25	0.413434098	0.0	1.0	0.00474	0.004741
SASM	GENSET_DIESEL	384.6	5.769001632	516.55	25	0.597869785	0.0	1.0	0.0	0.0
SASM	HYDRO_DAM	2206.3	22.06299731	1262.82	40	1.0	0.0	1.0	0.0	0.0
SASM	ST_BIOMASS	1716.964771	39.82614252	165.33	25	0.416942825	0.0	1.0	0.0	0.0
SASM	ST_SNG	982.1038492	14.73155774	1024.32	25	0.0	0.0	1.0	0.0	0.0
SASM	STOVE_WOOD	0.0	0.0	75.0	10	1.0	0.0	1.0	0.0	0.0
SASM	STOVE_LPG	0.0	0.0	75.0	10	1.0	0.0	1.0	0.0	0.0
SASM	STOVE_NG	0.0	0.0	75.0	10	1.0	0.0	1.0	0.0	0.0
SASM	STOVE_OIL	0.0	0.0	75.0	10	1.0	0.0	1.0	0.0	0.0
SASM	STOVE_ELEC	0.0	0.0	75.0	10	0.1875	0.0	1.0	0.0	0.0
SASM	AIR_LFO	0.0	0.0	0.0	15	0.114155251	0.0	1.0	0.0	0.0
SASM	FERMENTATION_TO_BIOETHANOL	2554.01	116.0842435	0.0	25	0.92	0.0	1.0	0.0	0.0
SASM	ESTERIFICATION_TO_BIODIESEL	2554.01	116.0842435	0.0	25	0.8449	0.0	1.0	0.0	0.0
SASM	IND_ENG_DIESEL	384.6	5.769001632	516.55	25	0.9	0.0	1.0	0.0	0.0
SASM	IND_BURNER_LPG	70.67	1.415862909	12.32	17	0.9443	0.0	1.0	0.0	0.0
SASM	BUS_COACH_GASOLINE	930.384	30.55555556	0.0	15	0.296803653	0.0	1.0	0.0	0.0
SATA	NUCLEAR	4845.73	102.930986	707.88	60	0.843906	0.0	1.0	0.0	0.0
SATA	CCGT	898.0	22.45	183.79	25	0.413340787	0.0	1.0	0.0	0.0
SATA	CCGT_AMMONIA	802.5	20.32459833	183.79	25	0.59	0.0	1.0	0.0	0.0
SATA	COAL_US	2571.42	30.0225445	331.6	35	0.865396	0.0	1.0	0.0	0.0
SATA	COAL_IGCC	3316.37	49.47283735	331.6	35	0.853432	0.0	1.0	0.0	0.0
SATA	PV	1051.13	26.01945647	2081.43	25	1.0	0.0	1.0	0.0	0.0
SATA	WIND_ONSHORE	1629.13	24.41867298	622.85	30	1.0	0.0	1.0	0.0	0.0
SATA	WIND_OFFSHORE	5219.54	36.31492615	622.85	30	1.0	0.0	1.0	0.0	0.0
SATA	HYDRO_RIVER	2000.263959	20.00263959	1262.82	40	1.0	0.0	1.0	0.0	0.0
SATA	GEOTHERMAL	3772.171603	94.30429007	24929.09	30	0.914	0.0	1.0	0.0	0.0
SATA	IND_COGEN_GAS	767.4832528	19.18708132	1024.32	25	0.8449	0.0	1.0	0.0	0.0
SATA	IND_COGEN_WOOD	1716.964771	39.82614252	165.33	25	0.8449	0.0	1.0	0.0	0.0
SATA	IND_COGEN_WASTE	3101.3	114.3299681	647.82	25	0.8449	0.0	1.0	0.0	0.0
SATA	IND_BOILER_GAS	70.67	1.415862909	12.32	17	0.9443	0.0	1.0	0.0	0.0
SATA	IND_BOILER_WOOD	138.22	2.764303774	28.87	17	0.8946	0.0	1.0	0.0	0.0
SATA	IND_BOILER_OIL	65.83	1.415862909	12.32	17	0.9443	0.0	1.0	0.0	0.0
SATA	IND_BOILER_COAL	138.22	2.764303774	48.18	17	0.8946	0.0	1.0	0.0	0.0
SATA	IND_BOILER_WASTE	138.22	2.764303774	28.87	17	0.8946	0.0	1.0	0.0	0.0
SATA	IND_DIRECT_ELEC	387.73	1.758903768	1.47	15	0.9443	0.0	1.0	0.0	0.0
SATA	DHN_HP_ELEC	395.73	13.41870073	174.79	25	0.9443	0.0	1.0	0.0	0.0
SATA	DHN_COGEN_GAS	1361.46	39.80624675	490.88	25	0.8449	0.0	1.0	0.0	0.0
SATA	DHN_COGEN_WOOD	1172.95	42.94466341	165.33	25	0.8449	0.0	1.0	0.0	0.0
SATA	DHN_COGEN_WASTE	3182.91	117.3386515	647.82	25	0.8449	0.0	1.0	0.0	0.0
SATA	DHN_COGEN_WET_BIOMASS	1491.64	121.3965436	1024.0	25	0.7455	0.0	1.0	0.0	0.0
SATA	DHN_COGEN_BIO_HYDROLYSIS	4923.77	240.5931676	647.8	15	0.8449	0.0	1.0	0.0	0.0
SATA	DHN_BOILER_GAS	70.67	1.415862909	12.32	17	0.9443	0.0	1.0	0.0	Infinity
SATA	DHN_BOILER_WOOD	138.22	2.764303774	28.87	17	0.8946	0.0	1.0	0.0	0.0
SATA	DHN_BOILER_OIL	65.83	1.415862909	12.32	17	0.9443	0.0	1.0	0.0	0.0
SATA	DHN_DEEP_GEO	1611.94	60.39529412	808.76	30	0.8449	0.0	1.0	0.0	0.0
SATA	DHN_SOLAR	381.37	0.449838889	221.22	30	1.0	0.0	1.0	0.0	0.0
SATA	DEC_HP_ELEC	564.78	23.54819613	164.89	18	1.0	0.0	1.0	0.0	0.0
SATA	DEC_THHP_GAS	362.35	10.59040315	381.93	20	1.0	0.0	1.0	0.0	0.0
SATA	DEC_COGEN_GAS	1528.1	98.22449611	1024.32	20	1.0	0.0	1.0	0.0	0.0
SATA	DEC_COGEN_OIL	1416.89	86.93215515	1024.32	20	1.0	0.0	1.0	0.0	0.0
SATA	DEC_ADVCOGEN_GAS	9185.33	171.1804817	2193.45	20	1.0	0.0	1.0	0.0	0.0
SATA	DEC_ADVCOGEN_H2	9185.33	171.1804817	2193.45	20	1.0	0.0	1.0	0.0	0.0
SATA	DEC_BOILER_GAS	190.24	5.708399663	21.09	17	1.0	0.0	1.0	0.0	0.0
SATA	DEC_BOILER_WOOD	554.93	19.41754846	21.09	17	1.0	0.0	1.0	0.0	0.0
SATA	DEC_BOILER_OIL	170.86	10.24815058	21.09	17	1.0	0.0	1.0	0.0	0.0
SATA	DEC_SOLAR	1214.0	14.8	221.22	25	1.0	0.0	1.0	0.0	0.0
SATA	DEC_DIRECT_ELEC	43.61	0.190627801	1.47	15	1.0	0.0	1.0	0.0	0.0
SATA	TRAMWAY_TROLLEY	1000.0	12.5	0.0	30	0.342465753	0.0	1.0	0.0	0.0
SATA	BUS_COACH_DIESEL	924.704	30.55555556	0.0	15	0.296803653	0.0	1.0	0.0	0.0
SATA	BUS_COACH_HYDIESEL	1316.096	33.33333333	0.0	15	0.296803653	0.0	1.0	0.0	0.0
SATA	BUS_COACH_CNG_STOICH	936.064	30.55555556	0.0	15	0.296803653	0.0	1.0	0.0	0.0
SATA	BUS_COACH_FC_HYBRIDH2	1782.464	31.25	0.0	15	0.296803653	0.0	1.0	0.0	0.0
SATA	TRAIN_PUB	2409.632	54.35274934	0.0	40	0.275072894	0.0	1.0	0.0	0.0
SATA	CAR_GASOLINE	0.0	0.0	0.0	10	0.051369863	0.0	1.0	0.0	0.0
SATA	CAR_DIESEL	0.0	0.0	0.0	10	0.051369863	0.0	1.0	0.0	0.0
SATA	CAR_NG	0.0	0.0	0.0	10	0.051369863	0.0	1.0	0.0	0.0
SATA	CAR_METHANOL	0.0	0.0	0.0	10	0.051369863	0.0	1.0	0.0	0.0
SATA	CAR_HEV	0.0	0.0	0.0	10	0.051369863	0.0	1.0	0.0	0.0
SATA	CAR_PHEV	0.0	0.0	0.0	10	0.051369863	0.0	1.0	0.0	0.0
SATA	CAR_BEV	0.0	0.0	0.0	10	0.051369863	0.0	1.0	0.0	0.0
SATA	CAR_FUEL_CELL	0.0	0.0	0.0	10	0.051369863	0.0	1.0	0.0	0.0
SATA	TRAIN_FREIGHT	104.42	2.088311688	0.0	40	0.342465753	0.0	1.0	0.0	0.0
SATA	BOAT_FREIGHT_DIESEL	0.0	0.0	0.0	40	0.114155251	0.0	1.0	0.0	0.0
SATA	BOAT_FREIGHT_NG	0.0	0.0	0.0	40	0.114155251	0.0	1.0	0.0	0.0
SATA	BOAT_FREIGHT_METHANOL	0.0	0.0	0.0	40	0.114155251	0.0	1.0	0.0	0.0
SATA	TRUCK_DIESEL	0.0	0.0	0.0	15	0.092592593	0.0	1.0	0.0	0.0
SATA	TRUCK_METHANOL	0.0	0.0	0.0	15	0.092592593	0.0	1.0	0.0	0.0
SATA	TRUCK_FUEL_CELL	0.0	0.0	0.0	15	0.092592593	0.0	1.0	0.0	0.0
SATA	TRUCK_ELEC	0.0	0.0	0.0	15	0.092592593	0.0	1.0	0.0	0.0
SATA	TRUCK_NG	0.0	0.0	0.0	15	0.092592593	0.0	1.0	0.0	0.0
SATA	EFFICIENCY	144.24	0.0	0.0	1	1.0	0.0	1.0	0.0	Infinity
SATA	DHN	825.88	0.0	0.0	60	1.0	0.0	1.0	0.0	0.0
SATA	GRID	810.19	0.0	0.0	80	1.0	0.0	1.0	0.0	Infinity
SATA	H2_ELECTROLYSIS	2784.81	76.58227848	0.0	15	0.8946	0.0	1.0	0.0	0.0
SATA	SMR	775.33	71.54781261	0.0	25	0.85484	0.0	1.0	0.0	0.0
SATA	H2_BIOMASS	4798.23	338.0304591	0.0	25	0.85484	0.0	1.0	0.0	0.0
SATA	GASIFICATION_SNG	4007.94	282.5396825	0.0	25	0.8449	0.0	1.0	0.0	0.0
SATA	SYN_METHANATION	349.6	89.32368421	0.0	40	1.0	0.0	1.0	0.0	0.0
SATA	BIOMETHANATION	1122.22	15.54545455	0.0	20	0.8449	0.0	1.0	0.0	0.0
SATA	BIO_HYDROLYSIS	1811.76	123.526815	0.0	15	0.8449	0.0	1.0	0.0	0.0
SATA	PYROLYSIS_TO_FUELS	2554.01	116.0842435	0.0	25	0.8449	0.0	1.0	0.0	0.0
SATA	PYROLYSIS_TO_LFO	2593.5	72.2	0.0	25	0.8449	0.0	1.0	0.0	0.0
SATA	ATM_CCS	5342.73	132.624	0.0	40	1.0	0.0	1.0	0.0	0.0
SATA	INDUSTRY_CCS	2671.37	66.312	0.0	40	1.0	0.0	1.0	0.0	0.0
SATA	SYN_METHANOLATION	2647.88	75.14119601	0.0	20	0.9443	0.0	1.0	0.0	0.0
SATA	METHANE_TO_METHANOL	1511.16	66.07714896	0.0	25	0.8449	0.0	1.0	0.0	0.0
SATA	BIOMASS_TO_METHANOL	4788.0	73.15	0.0	20	0.994	0.0	1.0	0.0	0.0
SATA	HABER_BOSCH	963.97	18.84698835	0.0	20	0.994	0.0	1.0	0.0	0.0
SATA	AMMONIA_TO_H2	775.33	71.54781261	0.0	25	0.85484	0.0	1.0	0.0	0.0
SATA	OIL_TO_HVC	449.55	2.390016639	0.0	15	0.994	0.0	1.0	0.0	0.0
SATA	GAS_TO_HVC	907.75	22.69375242	0.0	25	0.994	0.0	1.0	0.0	0.0
SATA	BIOMASS_TO_HVC	3311.7	98.8	0.0	20	0.994	0.0	1.0	0.0	0.0
SATA	METHANOL_TO_HVC	793.49	71.41369717	0.0	20	0.994	0.0	1.0	0.0	0.0
SATA	BATT_LI	1118.6	0.775025166	61.3	15	1.0	0.0	1.0	0.0	0.0
SATA	BEV_BATT	0.0	0.0	0.0	1	1.0	0.0	1.0	0.0	0.0
SATA	PHEV_BATT	0.0	0.0	0.0	1	1.0	0.0	1.0	0.0	0.0
SATA	PHS	58.8	0.0	8.33	50	1.0	0.0	1.0	0.0	0.0
SATA	TS_DEC_DIRECT_ELEC	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SATA	TS_DEC_HP_ELEC	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SATA	TS_DEC_THHP_GAS	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SATA	TS_DEC_COGEN_GAS	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SATA	TS_DEC_COGEN_OIL	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SATA	TS_DEC_ADVCOGEN_GAS	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SATA	TS_DEC_ADVCOGEN_H2	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SATA	TS_DEC_BOILER_GAS	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SATA	TS_DEC_BOILER_WOOD	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SATA	TS_DEC_BOILER_OIL	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SATA	TS_DHN_DAILY	3.0	0.0086	0.0	40	1.0	0.0	1.0	0.0	0.0
SATA	TS_DHN_SEASONAL	0.59	0.003222222	0.0	25	1.0	0.0	1.0	0.0	0.0
SATA	TS_HIGH_TEMP	28.03	0.3	0.0	25	1.0	0.0	1.0	0.0	0.0
SATA	GAS_STORAGE	0.05	0.001309164	0.0	50	1.0	0.0	1.0	0.0	0.0
SATA	H2_STORAGE	6.19	0.39	0.0	20	1.0	0.0	1.0	0.0	0.0
SATA	DIESEL_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	0.0
SATA	GASOLINE_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	0.0
SATA	LFO_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	0.0
SATA	AMMONIA_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	0.0
SATA	METHANOL_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	0.0
SATA	CO2_STORAGE	49.5	0.495	0.0	30	1.0	0.0	1.0	0.0	0.0
SATA	OCGT	1176.1	17.64181303	183.79	25	0.415159488	0.0	1.0	0.0016	0.001601
SATA	GENSET_DIESEL	384.6	5.769001632	516.55	25	0.597869785	0.0	1.0	0.0	0.0
SATA	HYDRO_DAM	2206.3	22.06299731	1262.82	40	1.0	0.0	1.0	0.0	0.0
SATA	ST_BIOMASS	1716.964771	39.82614252	165.33	25	0.416942825	0.0	1.0	0.0	0.0
SATA	ST_SNG	982.1038492	14.73155774	1024.32	25	0.0	0.0	1.0	0.0	0.0
SATA	STOVE_WOOD	0.0	0.0	75.0	10	1.0	0.0	1.0	0.0	0.0
SATA	STOVE_LPG	0.0	0.0	75.0	10	1.0	0.0	1.0	0.0	0.0
SATA	STOVE_NG	0.0	0.0	75.0	10	1.0	0.0	1.0	0.0	0.0
SATA	STOVE_OIL	0.0	0.0	75.0	10	1.0	0.0	1.0	0.0	0.0
SATA	STOVE_ELEC	0.0	0.0	75.0	10	0.1875	0.0	1.0	0.0	0.0
SATA	AIR_LFO	0.0	0.0	0.0	15	0.114155251	0.0	1.0	0.0	0.0
SATA	FERMENTATION_TO_BIOETHANOL	2554.01	116.0842435	0.0	25	0.92	0.0	1.0	0.0	0.0
SATA	ESTERIFICATION_TO_BIODIESEL	2554.01	116.0842435	0.0	25	0.8449	0.0	1.0	0.0	0.0
SATA	IND_ENG_DIESEL	384.6	5.769001632	516.55	25	0.9	0.0	1.0	0.0	0.0
SATA	IND_BURNER_LPG	70.67	1.415862909	12.32	17	0.9443	0.0	1.0	0.0	0.0
SATA	BUS_COACH_GASOLINE	930.384	30.55555556	0.0	15	0.296803653	0.0	1.0	0.0	0.0
SAVC	NUCLEAR	4845.73	102.930986	707.88	60	0.843906	0.0	1.0	0.0	0.0
SAVC	CCGT	898.0	22.45	183.79	25	0.413340787	0.0	1.0	0.0	0.0
SAVC	CCGT_AMMONIA	802.5	20.32459833	183.79	25	0.59	0.0	1.0	0.0	0.0
SAVC	COAL_US	2571.42	30.0225445	331.6	35	0.865396	0.0	1.0	0.0	0.0
SAVC	COAL_IGCC	3316.37	49.47283735	331.6	35	0.853432	0.0	1.0	0.0	0.0
SAVC	PV	1051.13	26.01945647	2081.43	25	1.0	0.0	1.0	0.0	0.0
SAVC	WIND_ONSHORE	1629.13	24.41867298	622.85	30	1.0	0.0	1.0	0.0	0.0
SAVC	WIND_OFFSHORE	5219.54	36.31492615	622.85	30	1.0	0.0	1.0	0.0	0.0
SAVC	HYDRO_RIVER	2000.263959	20.00263959	1262.82	40	1.0	0.0	1.0	0.0	0.0
SAVC	GEOTHERMAL	3772.171603	94.30429007	24929.09	30	0.914	0.0	1.0	0.0	0.0
SAVC	IND_COGEN_GAS	767.4832528	19.18708132	1024.32	25	0.8449	0.0	1.0	0.0	0.0
SAVC	IND_COGEN_WOOD	1716.964771	39.82614252	165.33	25	0.8449	0.0	1.0	0.0	0.0
SAVC	IND_COGEN_WASTE	3101.3	114.3299681	647.82	25	0.8449	0.0	1.0	0.0	0.0
SAVC	IND_BOILER_GAS	70.67	1.415862909	12.32	17	0.9443	0.0	1.0	0.0	0.0
SAVC	IND_BOILER_WOOD	138.22	2.764303774	28.87	17	0.8946	0.0	1.0	0.0	0.0
SAVC	IND_BOILER_OIL	65.83	1.415862909	12.32	17	0.9443	0.0	1.0	0.0	0.0
SAVC	IND_BOILER_COAL	138.22	2.764303774	48.18	17	0.8946	0.0	1.0	0.0	0.0
SAVC	IND_BOILER_WASTE	138.22	2.764303774	28.87	17	0.8946	0.0	1.0	0.0	0.0
SAVC	IND_DIRECT_ELEC	387.73	1.758903768	1.47	15	0.9443	0.0	1.0	0.0	0.0
SAVC	DHN_HP_ELEC	395.73	13.41870073	174.79	25	0.9443	0.0	1.0	0.0	0.0
SAVC	DHN_COGEN_GAS	1361.46	39.80624675	490.88	25	0.8449	0.0	1.0	0.0	0.0
SAVC	DHN_COGEN_WOOD	1172.95	42.94466341	165.33	25	0.8449	0.0	1.0	0.0	0.0
SAVC	DHN_COGEN_WASTE	3182.91	117.3386515	647.82	25	0.8449	0.0	1.0	0.0	0.0
SAVC	DHN_COGEN_WET_BIOMASS	1491.64	121.3965436	1024.0	25	0.7455	0.0	1.0	0.0	0.0
SAVC	DHN_COGEN_BIO_HYDROLYSIS	4923.77	240.5931676	647.8	15	0.8449	0.0	1.0	0.0	0.0
SAVC	DHN_BOILER_GAS	70.67	1.415862909	12.32	17	0.9443	0.0	1.0	0.0	Infinity
SAVC	DHN_BOILER_WOOD	138.22	2.764303774	28.87	17	0.8946	0.0	1.0	0.0	0.0
SAVC	DHN_BOILER_OIL	65.83	1.415862909	12.32	17	0.9443	0.0	1.0	0.0	0.0
SAVC	DHN_DEEP_GEO	1611.94	60.39529412	808.76	30	0.8449	0.0	1.0	0.0	0.0
SAVC	DHN_SOLAR	381.37	0.449838889	221.22	30	1.0	0.0	1.0	0.0	0.0
SAVC	DEC_HP_ELEC	564.78	23.54819613	164.89	18	1.0	0.0	1.0	0.0	0.0
SAVC	DEC_THHP_GAS	362.35	10.59040315	381.93	20	1.0	0.0	1.0	0.0	0.0
SAVC	DEC_COGEN_GAS	1528.1	98.22449611	1024.32	20	1.0	0.0	1.0	0.0	0.0
SAVC	DEC_COGEN_OIL	1416.89	86.93215515	1024.32	20	1.0	0.0	1.0	0.0	0.0
SAVC	DEC_ADVCOGEN_GAS	9185.33	171.1804817	2193.45	20	1.0	0.0	1.0	0.0	0.0
SAVC	DEC_ADVCOGEN_H2	9185.33	171.1804817	2193.45	20	1.0	0.0	1.0	0.0	0.0
SAVC	DEC_BOILER_GAS	190.24	5.708399663	21.09	17	1.0	0.0	1.0	0.0	0.0
SAVC	DEC_BOILER_WOOD	554.93	19.41754846	21.09	17	1.0	0.0	1.0	0.0	0.0
SAVC	DEC_BOILER_OIL	170.86	10.24815058	21.09	17	1.0	0.0	1.0	0.0	0.0
SAVC	DEC_SOLAR	1214.0	14.8	221.22	25	1.0	0.0	1.0	0.0	0.0
SAVC	DEC_DIRECT_ELEC	43.61	0.190627801	1.47	15	1.0	0.0	1.0	0.0	0.0
SAVC	TRAMWAY_TROLLEY	1000.0	12.5	0.0	30	0.342465753	0.0	1.0	0.0	0.0
SAVC	BUS_COACH_DIESEL	924.704	30.55555556	0.0	15	0.296803653	0.0	1.0	0.0	0.0
SAVC	BUS_COACH_HYDIESEL	1316.096	33.33333333	0.0	15	0.296803653	0.0	1.0	0.0	0.0
SAVC	BUS_COACH_CNG_STOICH	936.064	30.55555556	0.0	15	0.296803653	0.0	1.0	0.0	0.0
SAVC	BUS_COACH_FC_HYBRIDH2	1782.464	31.25	0.0	15	0.296803653	0.0	1.0	0.0	0.0
SAVC	TRAIN_PUB	2409.632	54.35274934	0.0	40	0.275072894	0.0	1.0	0.0	0.0
SAVC	CAR_GASOLINE	0.0	0.0	0.0	10	0.051369863	0.0	1.0	0.0	0.0
SAVC	CAR_DIESEL	0.0	0.0	0.0	10	0.051369863	0.0	1.0	0.0	0.0
SAVC	CAR_NG	0.0	0.0	0.0	10	0.051369863	0.0	1.0	0.0	0.0
SAVC	CAR_METHANOL	0.0	0.0	0.0	10	0.051369863	0.0	1.0	0.0	0.0
SAVC	CAR_HEV	0.0	0.0	0.0	10	0.051369863	0.0	1.0	0.0	0.0
SAVC	CAR_PHEV	0.0	0.0	0.0	10	0.051369863	0.0	1.0	0.0	0.0
SAVC	CAR_BEV	0.0	0.0	0.0	10	0.051369863	0.0	1.0	0.0	0.0
SAVC	CAR_FUEL_CELL	0.0	0.0	0.0	10	0.051369863	0.0	1.0	0.0	0.0
SAVC	TRAIN_FREIGHT	104.42	2.088311688	0.0	40	0.342465753	0.0	1.0	0.0	0.0
SAVC	BOAT_FREIGHT_DIESEL	0.0	0.0	0.0	40	0.114155251	0.0	1.0	0.0	0.0
SAVC	BOAT_FREIGHT_NG	0.0	0.0	0.0	40	0.114155251	0.0	1.0	0.0	0.0
SAVC	BOAT_FREIGHT_METHANOL	0.0	0.0	0.0	40	0.114155251	0.0	1.0	0.0	0.0
SAVC	TRUCK_DIESEL	0.0	0.0	0.0	15	0.092592593	0.0	1.0	0.0	0.0
SAVC	TRUCK_METHANOL	0.0	0.0	0.0	15	0.092592593	0.0	1.0	0.0	0.0
SAVC	TRUCK_FUEL_CELL	0.0	0.0	0.0	15	0.092592593	0.0	1.0	0.0	0.0
SAVC	TRUCK_ELEC	0.0	0.0	0.0	15	0.092592593	0.0	1.0	0.0	0.0
SAVC	TRUCK_NG	0.0	0.0	0.0	15	0.092592593	0.0	1.0	0.0	0.0
SAVC	EFFICIENCY	144.24	0.0	0.0	1	1.0	0.0	1.0	0.0	Infinity
SAVC	DHN	825.88	0.0	0.0	60	1.0	0.0	1.0	0.0	0.0
SAVC	GRID	810.19	0.0	0.0	80	1.0	0.0	1.0	0.0	Infinity
SAVC	H2_ELECTROLYSIS	2784.81	76.58227848	0.0	15	0.8946	0.0	1.0	0.0	0.0
SAVC	SMR	775.33	71.54781261	0.0	25	0.85484	0.0	1.0	0.0	0.0
SAVC	H2_BIOMASS	4798.23	338.0304591	0.0	25	0.85484	0.0	1.0	0.0	0.0
SAVC	GASIFICATION_SNG	4007.94	282.5396825	0.0	25	0.8449	0.0	1.0	0.0	0.0
SAVC	SYN_METHANATION	349.6	89.32368421	0.0	40	1.0	0.0	1.0	0.0	0.0
SAVC	BIOMETHANATION	1122.22	15.54545455	0.0	20	0.8449	0.0	1.0	0.0	0.0
SAVC	BIO_HYDROLYSIS	1811.76	123.526815	0.0	15	0.8449	0.0	1.0	0.0	0.0
SAVC	PYROLYSIS_TO_FUELS	2554.01	116.0842435	0.0	25	0.8449	0.0	1.0	0.0	0.0
SAVC	PYROLYSIS_TO_LFO	2593.5	72.2	0.0	25	0.8449	0.0	1.0	0.0	0.0
SAVC	ATM_CCS	5342.73	132.624	0.0	40	1.0	0.0	1.0	0.0	0.0
SAVC	INDUSTRY_CCS	2671.37	66.312	0.0	40	1.0	0.0	1.0	0.0	0.0
SAVC	SYN_METHANOLATION	2647.88	75.14119601	0.0	20	0.9443	0.0	1.0	0.0	0.0
SAVC	METHANE_TO_METHANOL	1511.16	66.07714896	0.0	25	0.8449	0.0	1.0	0.0	0.0
SAVC	BIOMASS_TO_METHANOL	4788.0	73.15	0.0	20	0.994	0.0	1.0	0.0	0.0
SAVC	HABER_BOSCH	963.97	18.84698835	0.0	20	0.994	0.0	1.0	0.0	0.0
SAVC	AMMONIA_TO_H2	775.33	71.54781261	0.0	25	0.85484	0.0	1.0	0.0	0.0
SAVC	OIL_TO_HVC	449.55	2.390016639	0.0	15	0.994	0.0	1.0	0.0	0.0
SAVC	GAS_TO_HVC	907.75	22.69375242	0.0	25	0.994	0.0	1.0	0.0	0.0
SAVC	BIOMASS_TO_HVC	3311.7	98.8	0.0	20	0.994	0.0	1.0	0.0	0.0
SAVC	METHANOL_TO_HVC	793.49	71.41369717	0.0	20	0.994	0.0	1.0	0.0	0.0
SAVC	BATT_LI	1118.6	0.775025166	61.3	15	1.0	0.0	1.0	0.0	0.0
SAVC	BEV_BATT	0.0	0.0	0.0	1	1.0	0.0	1.0	0.0	0.0
SAVC	PHEV_BATT	0.0	0.0	0.0	1	1.0	0.0	1.0	0.0	0.0
SAVC	PHS	58.8	0.0	8.33	50	1.0	0.0	1.0	0.0	0.0
SAVC	TS_DEC_DIRECT_ELEC	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SAVC	TS_DEC_HP_ELEC	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
SAVC	TS_DEC_THHP_GAS	18.97	0.132802697	0.0	20	1.0	0.0	1.0	0.0	0.0
